土豆,红薯
豆浆,牛奶
铅笔,钢笔
公交,地铁
围巾,围脖
唇膏,口红
酸奶,奶酪
馄饨,饺子
饼干,薯片
台灯,吊灯
皮鞋,布鞋
沙发,座椅
床单,被罩
拖把,扫帚
菜刀,剪刀
花瓶,花盆
春联,福字
鞭炮,烟花
汤圆,元宵
橘子,橙子
草莓,蓝莓
苹果,鸭梨
芒果,香蕉
西瓜,哈密瓜
葡萄,提子
樱桃,车厘子
短裤,短裙
T恤,衬衫
风衣,夹克
棉袄,羽绒服
拖鞋,凉鞋
雨伞,阳伞
手表,手环
眼镜,墨镜
帽子,头巾
戒指,项链
钱包,卡包
背包,挎包
行李箱,旅行包
篮球,足球
羽毛球,乒乓球
跳绳,毽子
滑板,轮滑鞋
吉他,尤克里里
钢琴,电子琴
小提琴,中提琴
鼓,锣
耳机,耳塞
音响,音箱
电视,电脑
手机,平板
鼠标,键盘
充电器,充电宝
打印机,复印机
冰箱,冰柜
空调,风扇
洗衣机,烘干机
微波炉,烤箱
电饭煲,电压力锅
茶壶,水杯
饭碗,餐盘
筷子,勺子
汤勺,漏勺
菜刀,菜板
洗洁精,洗衣粉
毛巾,浴巾
牙刷,牙膏
洗发水,护发素
沐浴露,香皂
洗面奶,洁面皂
面霜,乳液
粉底,粉饼
眉笔,眼线笔
腮红,口红
眼影,睫毛膏
小说,散文
童话,寓言
诗歌,童谣
漫画,绘本
字典,词典
笔记本,便签本
书签,书夹
黑板,白板
粉笔,马克笔
地球仪,地图
日历,台历
邮票,明信片
信封,信纸
公章,私章
剪刀,美工刀
胶水,胶棒
回形针,订书机
文件夹,文件袋
曲别针,大头针
扫帚,吸尘器
垃圾桶,垃圾袋
晾衣架,晾衣杆
蚊香,电蚊拍
创可贴,碘伏
热水袋,暖宝宝
草莓蛋糕,巧克力蛋糕
珍珠奶茶,芋泥奶茶
拿铁咖啡,美式咖啡
榴莲披萨,牛肉披萨
番茄炒蛋,青椒炒蛋
红烧排骨,糖醋排骨
宫保鸡丁,鱼香肉丝
清炒土豆丝,酸辣土豆丝
菠菜汤,青菜汤
豆沙包,肉包
油条,油饼
烧麦,蒸饺
炸酱面,热干面
过桥米线,酸辣粉
菠萝炒饭,扬州炒饭
寿司,紫菜包饭
薯条,薯片
棉花糖,棒棒糖
冰淇淋,冰棒
果冻,布丁
红枣,枸杞
核桃,杏仁
开心果,腰果
葡萄干,蔓越莓干
牛肉干,猪肉脯
虾条,蟹棒
泡面,粉丝
挂面,意大利面
年糕,糍粑
豆腐脑,豆花
皮蛋,咸蛋
卤蛋,茶叶蛋
腐乳,豆豉
沙拉酱,番茄酱
生抽,老抽
料酒,黄酒
米醋,陈醋
橄榄油,玉米油
白糖,冰糖
红糖,黑糖
鸡精,味精
胡椒粉,花椒粉
辣椒粉,孜然粉
五香粉,十三香
防晒霜,隔离霜
眉粉,眉膏
定妆粉,散粉
高光粉,修容粉
眼线液,眼线膏
睫毛夹,卷发棒
双眼皮贴,假睫毛
腮红刷,眼影刷
化妆棉,卸妆棉
指甲油,护甲油
香水,香薰
护手霜,身体乳
磨砂膏,去角质啫喱
睡眠面膜,贴片面膜
发膜,焗油膏
干发帽,干发巾
卷发器,直发器
梳子,发梳
发夹,发卡
皮筋,发圈
隐形眼镜,框架眼镜
美瞳,彩色隐形眼镜
隐形眼镜护理液,眼药水
镜框,镜架
电动牙刷,普通牙刷
冲牙器,牙线
漱口水,口腔清新喷雾
牙膏,牙粉
智能手表,电子手表
机械表,石英表
手链,脚链
耳钉,耳环
胸针,领针
发簪,步摇
折扇,团扇
保温杯,保温壶
马克杯,陶瓷杯
玻璃杯,塑料杯
热水袋,电暖宝
毛毯,棉被
凉席,竹席
枕头,抱枕
蚊帐,床帘
床单,床罩
地毯,地垫
靠垫,坐垫
收纳箱,整理箱
衣架,裤架
鞋架,鞋柜
垃圾桶,纸篓
扫帚,鸡毛掸子
拖把,平板拖把
抹布,清洁布
洗洁精,洗碗液
洁厕灵,马桶清洁剂
消毒液,酒精
